id,title,speakers,track,level,room,format,start_time,duration_min,tags,feedback_url,slides_url,recording_url,cover_image_url,language,status,description
GJ89TV,Keynote d'ouverture Cloud Native Days France 2026!,petazzoni,,,Monet,keynote,2026-02-03T09:00:00+01:00,75,,,,,,,confirmed,
9H9WKR,"Stop the Fight : doper et unifier HPA, VPA et KEDA avec des métriques avancées",vermande,,,Monet,talk,2026-02-03T10:30:00+01:00,45,,,,,,,confirmed,
GAVG3X,REX SNCF - Des Rails aux Nuages : Comment Kubernetes à l'Edge Révolutionne les Systèmes Embarqués des TGV,yann-rotilio,,,Dumas,lightning,2026-02-03T10:30:00+01:00,10,,,,,,,confirmed,
S3SPP8,"REX Ledger - Le réseau multi-cluster, enfin simplifié : Guide pratique de Cilium ClusterMesh","arthur-outhenin-chalandre,quentin-swiech",,,Piaf,talk,2026-02-03T10:30:00+01:00,30,,,,,,,confirmed,
YP37WS,REX Decathlon - Ne plus avoir peur du vendredi aprem' et déployer sereinement avec Flagger,"maxime-veroone,johan-lore",,,Debussy,talk,2026-02-03T10:30:00+01:00,30,,,,,,,confirmed,
MYY7CK,GitHub Actions : une bombe à retardement pour la supply chain security,thierry-abalea,,,Dumas,lightning,2026-02-03T10:45:00+01:00,10,,,,,,,confirmed,
VXYTMH,kro : La révolution déclarative qui simplifie les déploiements Kubernetes,sebastien-allamand,,,Dumas,lightning,2026-02-03T11:00:00+01:00,10,,,,,,,confirmed,
3YBWHD,Scaler vos charges de travail GPU avec Karpenter et Argo Workflows,saboni,,,Debussy,talk,2026-02-03T11:15:00+01:00,45,,,,,,,confirmed,
LGDNMM,REX DINUM - Les ingrédients multitenancy et authentification pour une distribution k8s open-source française,piard,,,Piaf,talk,2026-02-03T11:15:00+01:00,45,,,,,,,confirmed,
CPRAUN,Admission Control 2.0 : des Webhooks aux politiques intégrées,yousri-kouki,,,Dumas,talk,2026-02-03T11:30:00+01:00,30,,,,,,,confirmed,
DHAXQN,REX SNCF - Smells like Cloud Kubernetes : Notre Kube managé on-premise,"matthieu-strohl,etienne-germain,yann-rotilio",,,Monet,talk,2026-02-03T11:30:00+01:00,30,,,,,,,confirmed,
8HZM98,"Cluster IA Air-Gapped : Concevoir, Sécuriser et  Déployer une Plateforme Souveraine","stephane-robert,christophe-morvan",,,Piaf,lightning,2026-02-03T12:00:00+01:00,10,,,,,,,confirmed,
TFRCKA,La résilience Cloud Native avec la solution open source Plakar,gilles-chehade,,,Debussy,lightning,2026-02-03T12:00:00+01:00,10,,,,,,,confirmed,
XAVSDH,K3s: Etat des lieux en 2026,paul-gonin,,,Dumas,lightning,2026-02-03T12:00:00+01:00,10,,,,,,,confirmed,
7VNVJF,La famille k0s : une boîte à outils pour simplifier la gestion multi-cluster de Kubernetes,luc-juggery,,,Piaf,lightning,2026-02-03T13:00:00+01:00,10,,,,,,,confirmed,
KXNTHT,Au-delà du Chaos du Multi-Cloud : L'Architecture Universal Mesh,baptiste-assmann,,,Dumas,lightning,2026-02-03T13:00:00+01:00,10,,,,,,,confirmed,
XPQKLT,Le jour où nous avons cassé Kubernetes... et comment nous l’avons réparé !,christophe-jauffret,,,Debussy,lightning,2026-02-03T13:00:00+01:00,10,,,,,,,confirmed,
ADHUPC,"Du bruit à l’essentiel : comment la sécurité cloud-native boostée par le contexte runtime permet aux équipes Dev, DevOps et SRE d’aller plus vite !",dimitris-vassilopoulos,,,Dumas,lightning,2026-02-03T13:15:00+01:00,10,,,,,,,confirmed,
F8GHUH,Attestation à distance d’un cluster Kubernetes ou comment protéger la bergerie des loups numériques,"timothee-ravier,alice-frosi",,,Debussy,talk,2026-02-03T13:15:00+01:00,30,,,,,,,confirmed,
JYFTD8,REX INSEE - De l’expérimentation à la mise en production de modèles d’IA : le MLOps dans une administration,"hugo-simon,nathan-randriamanana",,,Monet,talk,2026-02-03T13:15:00+01:00,45,,,,,,,confirmed,
YAJWJ8,REX Air France-KLM - Des chaînes applicatives aux chaînes OPS : Voyage vers le Cloud à bord d'Air France-KLM,"caroline-de-vasson,amine-alaoui-echerif",,,Piaf,talk,2026-02-03T13:15:00+01:00,30,,,,,,,confirmed,
MYVQPA,REX Mirakl - Déployer nos modèles : c'est simple avec KServe !,"alexandre-nguyen,yannick-lambruschi",,,Dumas,talk,2026-02-03T13:30:00+01:00,30,,,,,,,confirmed,
UHX83U,OS immuables pour K8s : Étendre vos systèmes avec systemd-sysext !,mathieu-tortuyaux,,,Debussy,lightning,2026-02-03T13:45:00+01:00,10,,,,,,,confirmed,
UKTSYQ,Sécuriser vos déploiements : quand kube-image-keeper sauve la prod !,paul-laffitte,,,Piaf,lightning,2026-02-03T13:45:00+01:00,10,,,,,,,confirmed,
MET3BH,Challenge : 0 CVE (ou presque) sur une appli Cloud Native en 10mn,mouhamad-koreissi,,,Debussy,lightning,2026-02-03T14:15:00+01:00,10,,,,,,,confirmed,
SUTE9N,Formation à l'échelle: 100 000 sessions de labs réseau & sécurité cloud-native,raphael-pinson,,,Dumas,talk,2026-02-03T14:15:00+01:00,45,,,,,,,confirmed,
V7UJ7V,REX Sellsy - Migrer 50 000 BDDs sans coupure vers PostgreSQL et K8s : mission impossible ?,"quentin-loupot,alexandre-buisine",,,Monet,talk,2026-02-03T14:15:00+01:00,45,,,,,,,confirmed,
V8RJVD,Kagent sur Kubernetes : comment l'IA agentique vous rend 10 fois plus efficaces,amine-ait-aazizi,,,Piaf,lightning,2026-02-03T14:15:00+01:00,10,,,,,,,confirmed,
8QBHMU,Inside Cilium: Deep Dive sur DSR (Direct Server Return),alexis-la-goutte,,,Piaf,lightning,2026-02-03T14:30:00+01:00,10,,,,,,,confirmed,
JLS39P,Mobilité des workloads Kubernetes: relever les défis et maîtriser la protection de vos données,clarence-pouthier,,,Debussy,lightning,2026-02-03T14:30:00+01:00,10,,,,,,,confirmed,
TLLFGW,REX CA-GIP - Construire la Plus Grande Plateforme Grafana On-Premise d'Europe,maxime-calves,,,Piaf,lightning,2026-02-03T14:45:00+01:00,10,,,,,,,confirmed,
VX9YTU,Simplifier les workloads stateful sur Kubernetes,"vincent-jamois,steeve-delmotte",,,Debussy,lightning,2026-02-03T14:45:00+01:00,10,,,,,,,confirmed,
9VAVVC,Du chaos à la clarté : booster votre pipeline de logs avec VictoriaLogs et LogsQL,diana-todea,,,Monet,talk,2026-02-03T15:15:00+01:00,30,,,,,,,confirmed,
QF9THU,Sous le capot de Cluster API: concevoir et implémenter un provider d'infrastructure,tomy-guichard,,,Piaf,talk,2026-02-03T15:15:00+01:00,30,,,,,,,confirmed,
SH77P9,REX Numberly - Automatiser la gestion des identifiants DB dans k8s avec Vault et vault-db-injector,"solvik-blum,guillaume-legrain",,,Debussy,talk,2026-02-03T15:15:00+01:00,30,,,,,,,confirmed,
XDKUAV,"SRE sous pression : santé mentale, charge invisible et fatigue du “héros de la prod”",luckas-bosch,,,Dumas,talk,2026-02-03T15:15:00+01:00,30,,,,,,,confirmed,
3HGPVS,REX bpifrance - FinOps en action – De la visibilité au chargeback : les clés d’une démarche réussie,hela-ben-farhat,,,Dumas,talk,2026-02-03T16:00:00+01:00,30,,,,,,,confirmed,
9DKYFA,Chaos Engineering Escape Game : sauvez le cluster avant qu’il ne s’effondre !,herve-leclerc,,,Debussy,talk,2026-02-03T16:00:00+01:00,30,,,,,,,confirmed,
DEPCLW,Sécuriser la PKI de vos clusters Kubernetes avec ClusterAPI et OpenBao,"victor-coutellier,mohammad-amla",,,Piaf,talk,2026-02-03T16:00:00+01:00,30,,,,,,,confirmed,
Z9PASN,REX Mistral AI - Construire un fournisseur cloud de zero: ClusterAPI dans le datacenter,"leonard-suslian,antoine-roy",,,Monet,talk,2026-02-03T16:00:00+01:00,45,,,,,,,confirmed,
8E8DDS,Même Chuck Norris utilise Topomatik !,alexandre-buisine,,,Debussy,lightning,2026-02-03T16:30:00+01:00,10,,,,,,,confirmed,
8HRTH8,Tokyo Drift Containers : Immuabilité au service de la sécurité Cloud Native,dan-maher,,,Piaf,lightning,2026-02-03T16:30:00+01:00,10,,,,,,,confirmed,
W3RGND,Kubernetes sous surveillance : déployez Uptime Kuma en un clin d’œil,williams-ahile,,,Dumas,lightning,2026-02-03T16:30:00+01:00,10,,,,,,,confirmed,
D8C7VQ,REX Winamax - De zéro à des milliards de traces : le tracing distribué à grande échelle,"maffert-anthony,nicolas-fidel",,,Piaf,talk,2026-02-03T17:00:00+01:00,30,,,,,,,confirmed,
DW3UCQ,Questions pour un conteneur - édition Supply Chain,"vache,sherine-khoury",,,Monet,talk,2026-02-03T17:00:00+01:00,45,,,,,,,confirmed,
HQTL3Q,Kyverno au service de l’IA : sécuriser les actions des agents dans Kubernetes,chmielowski,,,Dumas,talk,2026-02-03T17:00:00+01:00,45,,,,,,,confirmed,
PHADGY,"REX Renault - Kubernetes as a Service : sécurité, innovation et self-service à grande échelle","vincent-ledan,ismail-kaboubi",,,Debussy,talk,2026-02-03T17:00:00+01:00,30,,,,,,,confirmed,
PPFQLC,"Docker Bake, élégance et standardisation pour le build de vos images Docker",mazlum-tosun,,,Debussy,talk,2026-02-03T17:45:00+01:00,45,,,,,,,confirmed,
TGL9BQ,REX Ubisoft - Quand et comment partager un cluster : retour d'expérience sur Capsule chez Ubisoft,"behar,corentin-closs",,,Piaf,talk,2026-02-03T17:45:00+01:00,45,,,,,,,confirmed,
7LNQZA,Passons au cloud-native durable,rexed,,,Dumas,talk,2026-02-03T18:00:00+01:00,30,,,,,,,confirmed,
HFFT3Q,REX Skello - Data Platform Engineering : Comment rendre les équipes métier vraiment autonomes grâce à Kubernetes et Airflow,edgar-halbert,,,Monet,talk,2026-02-03T18:00:00+01:00,30,,,,,,,confirmed,
