slug,name,photo_url,company,role,bio,twitter,linkedin,github,bluesky,website,keynote
petazzoni,Jérôme Petazzoni,,Enix,Tinkerer,,,,,,,true
vache,Aurélie Vache,,OVHcloud,DevRel / Docker Captain,,,,,,,
saboni,Amine Saboni,,,,,,,,,,
vermande,Nicolas Vermande,,,,,,,,,,
chmielowski,Luc Chmielowski,,,,,,,,,,
piard,Vincent PIARD,,DINUM,,,,,,,,
behar,Vincent Behar,,Ubisoft,,,,,,,,
rexed,Henrik Rexed,,,,,,,,,,
arthur-outhenin-chalandre,Arthur Outhenin-Chalandre,,,,,,,,,,
yannick-lambruschi,Yannick Lambruschi,,,,,,,,,,
solvik-blum,Solvik Blum,,,,,,,,,,
johan-lore,Johan Lore,,,,,,,,,,
hela-ben-farhat,Hela Ben Farhat,,,,,,,,,,
christophe-jauffret,Christophe Jauffret,,,,,,,,,,
alice-frosi,Alice Frosi,,,,,,,,,,
matthieu-strohl,Matthieu Strohl,,,,,,,,,,
luckas-bosch,Luckas Bosch,,,,,,,,,,
paul-gonin,Paul Gonin,,,,,,,,,,
christophe-morvan,Christophe Morvan,,,,,,,,,,
ismail-kaboubi,Ismail KABOUBI,,,,,,,,,,
alexis-la-goutte,Alexis La Goutte,,,,,,,,,,
tomy-guichard,Tomy Guichard,,,,,,,,,,
luc-juggery,Luc Juggery,,,,,,,,,,
gilles-chehade,Gilles Chehade,,,,,,,,,,
sherine-khoury,Sherine Khoury,,,,,,,,,,
maxime-calves,Maxime Calves,,,,,,,,,,
amine-ait-aazizi,Amine AIT AAZIZI,,,,,,,,,,
mathieu-tortuyaux,Mathieu Tortuyaux,,,,,,,,,,
mouhamad-koreissi,Mouhamad Koreissi,,,,,,,,,,
diana-todea,Diana Todea,,,,,,,,,,
baptiste-assmann,Baptiste Assmann,,,,,,,,,,
timothee-ravier,Timothée Ravier,,,,,,,,,,
williams-ahile,Williams Ahilé,,,,,,,,,,
guillaume-legrain,Guillaume Legrain,,,,,,,,,,
alexandre-nguyen,Alexandre NGUYEN,,,,,,,,,,
paul-laffitte,Paul Laffitte,,,,,,,,,,
herve-leclerc,Hervé Leclerc,,,,,,,,,,
maffert-anthony,Maffert Anthony,,,,,,,,,,
dimitris-vassilopoulos,Dimitris Vassilopoulos,,,,,,,,,,
quentin-swiech,Quentin Swiech,,,,,,,,,,
leonard-suslian,Léonard Suslian,,,,,,,,,,
hugo-simon,Hugo Simon,,,,,,,,,,
steeve-delmotte,Steeve Delmotte,,,,,,,,,,
edgar-halbert,Edgar Halbert,,,,,,,,,,
clarence-pouthier,Clarence Pouthier,,,,,,,,,,
dan-maher,Dan Maher,,,,,,,,,,
stephane-robert,Stéphane ROBERT,,,,,,,,,,
vincent-jamois,Vincent Jamois,,,,,,,,,,
antoine-roy,Antoine Roy,,,,,,,,,,
caroline-de-vasson,Caroline de Vasson,,,,,,,,,,
vincent-ledan,Vincent Ledan,,,,,,,,,,
yousri-kouki,Yousri KOUKI,,,,,,,,,,
thierry-abalea,Thierry ABALEA,,,,,,,,,,
corentin-closs,Corentin Closs,,,,,,,,,,
quentin-loupot,Quentin Loupot,,,,,,,,,,
nathan-randriamanana,Nathan Randriamanana,,,,,,,,,,
maxime-veroone,Maxime Véroone,,,,,,,,,,
nicolas-fidel,Nicolas Fidel,,,,,,,,,,
raphael-pinson,Raphaël Pinson,,,,,,,,,,
alexandre-buisine,Alexandre Buisine,,,,,,,,,,
yann-rotilio,Yann Rotilio,,,,,,,,,,
sebastien-allamand,Sébastien Allamand,,,,,,,,,,
amine-alaoui-echerif,Amine Alaoui Echerif,,,,,,,,,,
mohammad-amla,Mohammad AMLA,,,,,,,,,,
etienne-germain,Etienne Germain,,,,,,,,,,
mazlum-tosun,Mazlum Tosun,,,,,,,,,,
victor-coutellier,Victor Coutellier,,,,,,,,,,,
